Order_ID,Order_Date,Ship_Date,Category,Product,Quantity,Unit_Price,Discount_Pct,Gross_Sales,Discount_Amount,Net_Sales,Profit,State,Channel,Payment_Method,Order_Status,Customer_Segment
AMZ-2024-00026,2024-08-14,2024-08-19,Home & Kitchen,Water Purifier,5,6470.81,10,32354.05,3235.41,29118.64,9827.83,Haryana,Amazon Prime,Cash on Delivery,Delivered,B2C
AMZ-2024-00027,2024-06-12,2024-06-17,Grocery,Green Tea,3,741.19,5,2223.57,111.18,2112.39,354.73,Delhi,Amazon Business,Credit Card,Shipped,B2B
AMZ-2024-00028,2024-10-21,2024-10-25,Home & Kitchen,Vacuum Cleaner,2,4071.71,25,8143.42,2035.86,6107.56,640.58,Uttar Pradesh,Amazon.in,Debit Card,Cancelled,B2B
AMZ-2024-00029,2024-08-27,2024-08-29,Toys,Action Figure,5,1770.52,25,8852.6,2213.15,6639.45,937.9,Kerala,Amazon.in,Net Banking,Delivered,B2C
AMZ-2024-00030,2024-02-11,2024-02-15,Toys,Remote Car,4,911.16,15,3644.64,546.7,3097.94,505.17,Maharashtra,Amazon.in,Debit Card,Shipped,Prime Member
AMZ-2024-00031,2024-05-11,2024-05-14,Clothing,Denim Jeans,1,1913.34,5,1913.34,95.67,1817.67,393.09,Karnataka,Amazon.in,Credit Card,Cancelled,B2C
AMZ-2024-00032,2024-12-16,2024-12-21,Electronics,Laptop Stand,5,3547.06,30,17735.3,5320.59,12414.71,2177.49,Andhra Pradesh,Amazon.in,Cash on Delivery,Delivered,B2B
AMZ-2024-00033,2024-03-31,2024-04-05,Toys,Board Game,1,1697.29,25,1697.29,424.32,1272.97,175.99,Punjab,Amazon Global,Cash on Delivery,Delivered,B2B
AMZ-2024-00034,2024-06-15,2024-06-17,Toys,Action Figure,3,1552.67,10,4658.01,465.8,4192.21,449.3,Uttar Pradesh,Amazon Business,Debit Card,Cancelled,B2B
AMZ-2024-00035,2024-01-09,2024-01-10,Sports,Running Shoes,3,1629.25,25,4887.75,1221.94,3665.81,816.4,Gujarat,Amazon Business,Net Banking,Shipped,B2B
AMZ-2024-00036,2024-10-01,2024-10-03,Beauty,Makeup Kit,5,514.74,5,2573.7,128.69,2445.01,437.38,Tamil Nadu,Amazon Business,EMI,Delivered,B2B
AMZ-2024-00037,2024-09-08,2024-09-09,Sports,Yoga Mat,2,747.74,5,1495.48,74.77,1420.71,368.63,Haryana,Amazon.in,Cash on Delivery,Cancelled,B2B
AMZ-2024-00038,2024-10-15,2024-10-18,Grocery,Green Tea,3,665.5,0,1996.5,0.0,1996.5,275.38,Delhi,Amazon Business,UPI,Delivered,Prime Member
AMZ-2024-00039,2024-04-18,2024-04-21,Books,Self Help Guide,4,793.02,30,3172.08,951.62,2220.46,337.39,Punjab,Amazon.in,Credit Card,Shipped,B2C
AMZ-2024-00040,2024-11-16,2024-11-21,Clothing,Women's Kurti,1,1470.93,5,1470.93,73.55,1397.38,462.5,Punjab,Amazon Business,Net Banking,Delivered,Prime Member
AMZ-2024-00041,2024-07-25,2024-07-28,Books,Python Programming,3,383.57,25,1150.71,287.68,863.03,151.91,Telangana,Amazon Prime,Net Banking,Delivered,Prime Member
AMZ-2024-00042,2024-01-21,2024-01-23,Electronics,Webcam HD,3,3215.71,30,9647.13,2894.14,6752.99,1130.3,Uttar Pradesh,Amazon Prime,Debit Card,Delivered,Prime Member
AMZ-2024-00043,2024-10-08,2024-10-09,Toys,Puzzle 1000pc,1,1389.03,15,1389.03,208.35,1180.68,358.21,Uttar Pradesh,Amazon.in,Debit Card,Cancelled,B2B
AMZ-2024-00044,2024-01-27,2024-01-29,Clothing,Denim Jeans,4,1701.38,15,6805.52,1020.83,5784.69,1482.92,Gujarat,Amazon Business,Debit Card,Delivered,Prime Member
AMZ-2024-00045,2024-03-01,2024-03-03,Grocery,Organic Honey,1,992.03,0,992.03,0.0,992.03,213.65,Uttar Pradesh,Amazon Global,Cash on Delivery,Cancelled,B2B
AMZ-2024-00046,2024-09-16,2024-09-19,Grocery,Green Tea,2,794.41,30,1588.82,476.65,1112.17,226.59,Haryana,Amazon.in,Debit Card,Cancelled,Prime Member
AMZ-2024-00047,2024-07-29,2024-07-30,Grocery,Mixed Nuts,4,726.75,20,2907.0,581.4,2325.6,455.22,Rajasthan,Amazon Prime,EMI,Delivered,B2B
AMZ-2024-00048,2024-12-01,2024-12-03,Home & Kitchen,Dinner Set,1,2723.77,5,2723.77,136.19,2587.58,523.97,Delhi,Amazon Prime,Debit Card,Returned,Prime Member
AMZ-2024-00049,2024-12-16,2024-12-19,Toys,LEGO Set,3,2218.24,0,6654.72,0.0,6654.72,1056.05,Tamil Nadu,Amazon.in,Net Banking,Delivered,Prime Member
AMZ-2024-00050,2024-04-02,2024-04-04,Clothing,Sports Shorts,2,1834.82,20,3669.64,733.93,2935.71,793.96,Karnataka,Amazon.in,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00051,2024-06-25,2024-06-30,Books,Financial Freedom,5,352.2,5,1761.0,88.05,1672.95,198.19,Gujarat,Amazon Prime,EMI,Cancelled,B2B
AMZ-2024-00052,2024-10-16,2024-10-17,Sports,Resistance Bands,4,1281.0,15,5124.0,768.6,4355.4,734.41,Kerala,Amazon Prime,Debit Card,Shipped,Prime Member
AMZ-2024-00053,2024-01-18,2024-01-23,Beauty,Sunscreen SPF50,2,997.13,10,1994.26,199.43,1794.83,533.34,Rajasthan,Amazon Business,UPI,Cancelled,B2B
AMZ-2024-00054,2024-05-31,2024-06-03,Toys,Remote Car,2,864.33,15,1728.66,259.3,1469.36,502.29,Andhra Pradesh,Amazon.in,Net Banking,Delivered,B2C
AMZ-2024-00055,2024-07-09,2024-07-10,Books,Financial Freedom,5,520.94,30,2604.7,781.41,1823.29,473.39,Punjab,Amazon Business,Net Banking,Delivered,Prime Member
AMZ-2024-00056,2024-04-30,2024-05-05,Beauty,Moisturizer Cream,2,306.51,15,613.02,91.95,521.07,67.23,Karnataka,Amazon Prime,Net Banking,Returned,Prime Member
AMZ-2024-00057,2024-07-04,2024-07-05,Toys,Action Figure,2,1817.62,15,3635.24,545.29,3089.95,1043.29,Punjab,Amazon Global,Cash on Delivery,Returned,B2C
AMZ-2024-00058,2024-03-05,2024-03-10,Toys,Board Game,2,2435.41,10,4870.82,487.08,4383.74,705.31,Tamil Nadu,Amazon.in,Cash on Delivery,Shipped,Prime Member
AMZ-2024-00059,2024-01-14,2024-01-16,Books,Python Programming,3,365.36,0,1096.08,0.0,1096.08,290.75,Maharashtra,Amazon Global,Credit Card,Returned,B2C
AMZ-2024-00060,2024-01-23,2024-01-28,Home & Kitchen,Non-Stick Pan,1,1326.36,5,1326.36,66.32,1260.04,423.82,Gujarat,Amazon Prime,EMI,Delivered,B2C
AMZ-2024-00061,2024-12-30,2025-01-02,Grocery,Green Tea,4,346.51,25,1386.04,346.51,1039.53,256.08,West Bengal,Amazon Global,Net Banking,Delivered,B2C
AMZ-2024-00062,2024-05-10,2024-05-13,Clothing,Denim Jeans,5,664.54,15,3322.7,498.4,2824.3,503.1,Karnataka,Amazon Prime,UPI,Delivered,B2C
AMZ-2024-00063,2024-08-04,2024-08-05,Clothing,Sports Shorts,1,932.5,30,932.5,279.75,652.75,173.85,Gujarat,Amazon Global,Debit Card,Delivered,Prime Member
AMZ-2024-00064,2024-11-10,2024-11-15,Books,Python Programming,4,419.54,30,1678.16,503.45,1174.71,357.82,Maharashtra,Amazon Global,UPI,Delivered,B2B
AMZ-2024-00065,2024-08-20,2024-08-23,Sports,Dumbbells Set,3,795.91,5,2387.73,119.39,2268.34,440.17,Karnataka,Amazon Global,Debit Card,Returned,Prime Member
AMZ-2024-00066,2024-06-25,2024-06-29,Clothing,Men's T-Shirt,2,1349.32,30,2698.64,809.59,1889.05,430.87,Delhi,Amazon Global,EMI,Delivered,Prime Member
AMZ-2024-00067,2024-08-08,2024-08-10,Sports,Yoga Mat,2,1014.39,0,2028.78,0.0,2028.78,455.15,Karnataka,Amazon Prime,Cash on Delivery,Shipped,Prime Member
AMZ-2024-00068,2024-07-26,2024-07-27,Beauty,Face Serum,4,926.27,15,3705.08,555.76,3149.32,542.88,Rajasthan,Amazon Business,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00069,2024-11-20,2024-11-21,Beauty,Face Serum,4,567.87,5,2271.48,113.57,2157.91,257.0,Telangana,Amazon Business,Debit Card,Returned,Prime Member
AMZ-2024-00070,2024-10-23,2024-10-27,Home & Kitchen,Electric Kettle,1,4454.35,30,4454.35,1336.31,3118.04,751.24,Punjab,Amazon Global,EMI,Returned,B2C
AMZ-2024-00071,2024-11-26,2024-11-27,Grocery,Organic Honey,4,150.2,30,600.8,180.24,420.56,72.24,Kerala,Amazon Prime,Net Banking,Delivered,B2B
AMZ-2024-00072,2024-12-28,2025-01-01,Books,Business Analytics,5,261.1,5,1305.5,65.28,1240.22,136.16,Uttar Pradesh,Amazon Business,Debit Card,Returned,B2B
AMZ-2024-00073,2024-11-04,2024-11-06,Toys,Puzzle 1000pc,3,1149.44,30,3448.32,1034.5,2413.82,637.59,Rajasthan,Amazon.in,Cash on Delivery,Delivered,B2B
AMZ-2024-00074,2024-09-26,2024-09-27,Sports,Cricket Bat,4,2376.0,25,9504.0,2376.0,7128.0,2489.75,Punjab,Amazon Prime,Cash on Delivery,Returned,B2C
AMZ-2024-00075,2024-09-26,2024-09-27,Beauty,Hair Dryer,2,358.18,20,716.36,143.27,573.09,167.75,Punjab,Amazon Global,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00076,2024-08-17,2024-08-19,Toys,Remote Car,2,1100.46,15,2200.92,330.14,1870.78,472.65,Telangana,Amazon Business,Debit Card,Delivered,B2C
AMZ-2024-00077,2024-09-03,2024-09-06,Beauty,Moisturizer Cream,4,1251.8,10,5007.2,500.72,4506.48,509.43,Telangana,Amazon.in,EMI,Delivered,B2B
AMZ-2024-00078,2024-07-21,2024-07-26,Clothing,Denim Jeans,2,1838.02,0,3676.04,0.0,3676.04,748.9,Rajasthan,Amazon Business,Net Banking,Delivered,B2B
AMZ-2024-00079,2024-08-28,2024-09-01,Books,Data Science Handbook,3,673.83,5,2021.49,101.07,1920.42,556.37,Kerala,Amazon.in,UPI,Delivered,B2B
AMZ-2024-00080,2024-02-26,2024-03-01,Books,Python Programming,5,664.7,20,3323.5,664.7,2658.8,569.72,Kerala,Amazon.in,EMI,Shipped,Prime Member
AMZ-2024-00081,2024-09-16,2024-09-21,Home & Kitchen,Non-Stick Pan,4,4251.25,20,17005.0,3401.0,13604.0,3085.82,Maharashtra,Amazon Prime,Net Banking,Delivered,Prime Member
AMZ-2024-00082,2024-10-06,2024-10-09,Toys,Board Game,3,1579.19,5,4737.57,236.88,4500.69,499.95,Haryana,Amazon Business,EMI,Delivered,Prime Member
AMZ-2024-00083,2024-10-05,2024-10-09,Grocery,Mixed Nuts,2,939.03,20,1878.06,375.61,1502.45,299.82,Gujarat,Amazon.in,EMI,Shipped,B2B
AMZ-2024-00084,2024-09-22,2024-09-25,Beauty,Face Serum,3,1440.25,25,4320.75,1080.19,3240.56,727.12,Andhra Pradesh,Amazon.in,EMI,Delivered,B2C
AMZ-2024-00085,2024-06-29,2024-07-04,Toys,Action Figure,2,1236.46,10,2472.92,247.29,2225.63,471.35,West Bengal,Amazon Global,EMI,Delivered,B2C
AMZ-2024-00086,2024-07-04,2024-07-08,Toys,Board Game,5,375.56,30,1877.8,563.34,1314.46,343.46,Kerala,Amazon.in,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00087,2024-07-17,2024-07-22,Grocery,Protein Powder,3,122.32,5,366.96,18.35,348.61,78.35,Delhi,Amazon Global,Debit Card,Delivered,B2C
AMZ-2024-00088,2024-12-29,2024-12-30,Sports,Cricket Bat,4,2596.12,10,10384.48,1038.45,9346.03,2495.02,Telangana,Amazon Global,Debit Card,Delivered,Prime Member
AMZ-2024-00089,2024-03-07,2024-03-12,Home & Kitchen,Water Purifier,3,1885.27,30,5655.81,1696.74,3959.07,1368.86,Delhi,Amazon.in,Debit Card,Delivered,Prime Member
AMZ-2024-00090,2024-11-23,2024-11-28,Grocery,Quinoa Pack,4,409.06,30,1636.24,490.87,1145.37,337.96,Karnataka,Amazon Business,Net Banking,Delivered,B2C
AMZ-2024-00091,2024-11-16,2024-11-19,Home & Kitchen,Non-Stick Pan,2,2042.01,20,4084.02,816.8,3267.22,550.89,Kerala,Amazon.in,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00092,2024-04-17,2024-04-22,Home & Kitchen,Electric Kettle,5,5991.19,20,29955.95,5991.19,23964.76,3982.08,West Bengal,Amazon.in,Net Banking,Cancelled,Prime Member
AMZ-2024-00093,2024-06-12,2024-06-15,Sports,Cycling Gloves,2,537.73,20,1075.46,215.09,860.37,116.94,West Bengal,Amazon Business,Debit Card,Delivered,B2B
AMZ-2024-00094,2024-10-22,2024-10-25,Books,Financial Freedom,1,373.13,5,373.13,18.66,354.47,107.54,Tamil Nadu,Amazon Business,Net Banking,Delivered,B2B
AMZ-2024-00095,2024-08-28,2024-08-31,Sports,Cycling Gloves,1,2186.53,30,2186.53,655.96,1530.57,403.4,Telangana,Amazon.in,UPI,Delivered,B2C
AMZ-2024-00096,2024-11-15,2024-11-20,Sports,Cricket Bat,3,962.16,30,2886.48,865.94,2020.54,479.81,Delhi,Amazon Business,UPI,Delivered,B2B
AMZ-2024-00097,2024-09-20,2024-09-22,Beauty,Moisturizer Cream,3,334.0,15,1002.0,150.3,851.7,116.88,Rajasthan,Amazon Global,Credit Card,Delivered,Prime Member
AMZ-2024-00098,2024-12-18,2024-12-19,Sports,Running Shoes,3,1844.91,15,5534.73,830.21,4704.52,1156.96,Kerala,Amazon Prime,Debit Card,Shipped,Prime Member
AMZ-2024-00099,2024-06-09,2024-06-13,Electronics,Power Bank,2,2858.05,5,5716.1,285.81,5430.29,568.74,Karnataka,Amazon Prime,EMI,Shipped,B2B
AMZ-2024-00100,2024-12-14,2024-12-17,Grocery,Organic Honey,2,578.81,20,1157.62,231.52,926.1,174.64,Kerala,Amazon Prime,Credit Card,Shipped,B2B
AMZ-2024-00101,2024-12-12,2024-12-17,Sports,Resistance Bands,3,1860.38,10,5581.14,558.11,5023.03,655.35,West Bengal,Amazon Prime,Debit Card,Delivered,B2B
AMZ-2024-00102,2024-10-27,2024-10-29,Electronics,Laptop Stand,1,2057.64,5,2057.64,102.88,1954.76,248.85,Tamil Nadu,Amazon.in,EMI,Shipped,Prime Member
AMZ-2024-00103,2024-04-12,2024-04-15,Books,Data Science Handbook,1,661.46,15,661.46,99.22,562.24,123.33,Rajasthan,Amazon Global,EMI,Delivered,B2C
AMZ-2024-00104,2024-05-28,2024-05-29,Books,Self Help Guide,1,304.47,25,304.47,76.12,228.35,77.76,Maharashtra,Amazon Global,Cash on Delivery,Delivered,B2B
AMZ-2024-00105,2024-04-05,2024-04-06,Sports,Cycling Gloves,5,1208.44,25,6042.2,1510.55,4531.65,744.62,Madhya Pradesh,Amazon Global,Debit Card,Shipped,B2C
AMZ-2024-00106,2024-06-17,2024-06-20,Toys,Puzzle 1000pc,5,314.03,15,1570.15,235.52,1334.63,384.96,Kerala,Amazon.in,Debit Card,Returned,Prime Member
AMZ-2024-00107,2024-04-23,2024-04-25,Books,Data Science Handbook,1,752.86,10,752.86,75.29,677.57,130.02,Karnataka,Amazon Prime,Credit Card,Delivered,Prime Member
AMZ-2024-00108,2024-12-26,2024-12-29,Beauty,Makeup Kit,5,1067.46,20,5337.3,1067.46,4269.84,903.87,Delhi,Amazon.in,UPI,Shipped,Prime Member
AMZ-2024-00109,2024-08-21,2024-08-26,Home & Kitchen,Electric Kettle,3,4952.89,5,14858.67,742.93,14115.74,3222.79,Maharashtra,Amazon Prime,EMI,Cancelled,Prime Member
AMZ-2024-00110,2024-08-29,2024-08-30,Electronics,Webcam HD,3,4173.04,0,12519.12,0.0,12519.12,4338.3,Gujarat,Amazon Prime,Credit Card,Delivered,Prime Member
AMZ-2024-00111,2024-10-02,2024-10-06,Toys,Board Game,4,591.58,0,2366.32,0.0,2366.32,342.21,Telangana,Amazon Business,EMI,Shipped,B2C
AMZ-2024-00112,2024-01-17,2024-01-21,Electronics,Laptop Stand,4,3529.75,25,14119.0,3529.75,10589.25,3085.42,Kerala,Amazon.in,Credit Card,Shipped,B2C
AMZ-2024-00113,2024-09-14,2024-09-17,Clothing,Winter Jacket,1,1441.44,30,1441.44,432.43,1009.01,115.14,Tamil Nadu,Amazon Global,Cash on Delivery,Returned,B2C
AMZ-2024-00114,2024-06-25,2024-06-29,Sports,Resistance Bands,5,3120.1,15,15600.5,2340.07,13260.43,1481.47,Andhra Pradesh,Amazon Global,EMI,Delivered,B2B
AMZ-2024-00115,2024-10-12,2024-10-17,Home & Kitchen,Non-Stick Pan,4,2141.2,15,8564.8,1284.72,7280.08,2489.4,Karnataka,Amazon Prime,Credit Card,Cancelled,B2C
AMZ-2024-00116,2024-10-27,2024-11-01,Beauty,Face Serum,4,1058.46,5,4233.84,211.69,4022.15,1211.32,Tamil Nadu,Amazon Prime,Credit Card,Returned,B2B
AMZ-2024-00117,2024-05-24,2024-05-28,Electronics,USB-C Hub,2,4828.35,20,9656.7,1931.34,7725.36,1393.68,Uttar Pradesh,Amazon Global,Debit Card,Cancelled,B2B
AMZ-2024-00118,2024-05-13,2024-05-18,Grocery,Green Tea,1,876.68,25,876.68,219.17,657.51,89.74,Kerala,Amazon Prime,Debit Card,Delivered,B2C
AMZ-2024-00119,2024-03-27,2024-03-30,Beauty,Sunscreen SPF50,4,1179.54,25,4718.16,1179.54,3538.62,787.87,Karnataka,Amazon Business,EMI,Delivered,B2C
AMZ-2024-00120,2024-01-31,2024-02-05,Electronics,Wireless Earbuds,1,4752.35,20,4752.35,950.47,3801.88,813.61,Punjab,Amazon Prime,EMI,Delivered,B2C
AMZ-2024-00121,2024-02-19,2024-02-24,Electronics,Webcam HD,1,574.27,5,574.27,28.71,545.56,69.15,Karnataka,Amazon Business,Credit Card,Cancelled,B2B
AMZ-2024-00122,2024-01-17,2024-01-18,Sports,Cycling Gloves,1,1060.45,30,1060.45,318.13,742.32,194.84,West Bengal,Amazon Prime,Net Banking,Delivered,B2C
AMZ-2024-00123,2024-12-20,2024-12-25,Electronics,Bluetooth Speaker,1,2748.36,5,2748.36,137.42,2610.94,849.39,Uttar Pradesh,Amazon Global,UPI,Delivered,Prime Member
AMZ-2024-00124,2024-10-15,2024-10-17,Sports,Running Shoes,5,1001.55,0,5007.75,0.0,5007.75,875.45,Kerala,Amazon Prime,EMI,Returned,B2B
AMZ-2024-00125,2024-06-16,2024-06-17,Home & Kitchen,Water Purifier,1,942.66,15,942.66,141.4,801.26,274.22,Punjab,Amazon Global,Net Banking,Delivered,B2C
AMZ-2024-00126,2024-11-20,2024-11-22,Beauty,Moisturizer Cream,4,1226.37,5,4905.48,245.27,4660.21,908.74,Madhya Pradesh,Amazon Prime,Debit Card,Returned,B2C
AMZ-2024-00127,2024-02-17,2024-02-22,Clothing,Men's T-Shirt,3,1593.29,0,4779.87,0.0,4779.87,900.9,Kerala,Amazon Global,Net Banking,Delivered,B2B
AMZ-2024-00128,2024-02-02,2024-02-04,Toys,Puzzle 1000pc,1,671.9,10,671.9,67.19,604.71,135.02,West Bengal,Amazon Global,Net Banking,Cancelled,B2B
AMZ-2024-00129,2024-06-17,2024-06-21,Clothing,Formal Trousers,3,1524.53,30,4573.59,1372.08,3201.51,816.54,Rajasthan,Amazon Prime,EMI,Delivered,B2B
AMZ-2024-00130,2024-07-20,2024-07-23,Beauty,Moisturizer Cream,2,1003.42,10,2006.84,200.68,1806.16,350.42,Delhi,Amazon Business,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00131,2024-03-19,2024-03-23,Electronics,Power Bank,2,2472.05,5,4944.1,247.21,4696.89,766.39,Andhra Pradesh,Amazon Prime,UPI,Delivered,Prime Member
AMZ-2024-00132,2024-02-13,2024-02-14,Grocery,Quinoa Pack,4,830.07,20,3320.28,664.06,2656.22,689.41,Andhra Pradesh,Amazon Business,EMI,Returned,B2C
AMZ-2024-00133,2024-08-25,2024-08-30,Electronics,Webcam HD,3,4844.73,15,14534.19,2180.13,12354.06,2390.88,Madhya Pradesh,Amazon Business,Debit Card,Delivered,B2B
AMZ-2024-00134,2024-08-12,2024-08-16,Clothing,Formal Trousers,4,444.95,10,1779.8,177.98,1601.82,350.86,Rajasthan,Amazon.in,Debit Card,Delivered,Prime Member
AMZ-2024-00135,2024-07-26,2024-07-28,Clothing,Men's T-Shirt,3,1450.14,15,4350.42,652.56,3697.86,584.13,Karnataka,Amazon Prime,Net Banking,Delivered,Prime Member
AMZ-2024-00136,2024-06-15,2024-06-17,Books,Financial Freedom,5,366.01,20,1830.05,366.01,1464.04,214.83,Uttar Pradesh,Amazon.in,Debit Card,Delivered,Prime Member
AMZ-2024-00137,2024-12-10,2024-12-12,Beauty,Moisturizer Cream,4,1247.55,20,4990.2,998.04,3992.16,988.23,Rajasthan,Amazon.in,Credit Card,Cancelled,B2C
AMZ-2024-00138,2024-09-07,2024-09-10,Home & Kitchen,Non-Stick Pan,2,1481.35,5,2962.7,148.13,2814.57,671.92,Karnataka,Amazon Business,Debit Card,Delivered,Prime Member
AMZ-2024-00139,2024-02-12,2024-02-17,Electronics,Mechanical Keyboard,1,2679.74,15,2679.74,401.96,2277.78,506.07,Maharashtra,Amazon Business,Debit Card,Delivered,B2B
AMZ-2024-00140,2024-10-04,2024-10-05,Books,Self Help Guide,3,658.55,30,1975.65,592.69,1382.96,480.89,Andhra Pradesh,Amazon Prime,Cash on Delivery,Shipped,B2B
AMZ-2024-00141,2024-10-28,2024-10-31,Clothing,Cotton Saree,2,1997.83,5,3995.66,199.78,3795.88,578.76,Haryana,Amazon Prime,Credit Card,Delivered,B2C
AMZ-2024-00142,2024-03-10,2024-03-14,Books,Data Science Handbook,5,393.19,25,1965.95,491.49,1474.46,447.93,Maharashtra,Amazon Global,EMI,Delivered,Prime Member
AMZ-2024-00143,2024-02-17,2024-02-21,Home & Kitchen,Electric Kettle,2,5472.43,15,10944.86,1641.73,9303.13,1105.95,Telangana,Amazon Global,EMI,Returned,B2B
AMZ-2024-00144,2024-08-07,2024-08-09,Grocery,Protein Powder,5,156.0,20,780.0,156.0,624.0,124.44,Uttar Pradesh,Amazon Global,Debit Card,Cancelled,B2B
AMZ-2024-00145,2024-01-01,2024-01-05,Home & Kitchen,Bedsheet Set,4,5477.43,5,21909.72,1095.49,20814.23,4377.68,Tamil Nadu,Amazon Business,EMI,Cancelled,B2C
AMZ-2024-00146,2024-02-18,2024-02-19,Sports,Yoga Mat,3,1597.48,25,4792.44,1198.11,3594.33,441.38,Tamil Nadu,Amazon Prime,UPI,Delivered,Prime Member
